"TARGET_ID";"TREE_LEVEL";"TREE_PATH";"STAGING_PATH";"STAGING_DIMENSION";"C_NAME";"STARTDATE_STAGING_PATH";"ENDDATE_STAGING_PATH";"VISUALATTRIBUTES";"C_BASECODE";"C_METADATAXML";"C_COLUMNDATATYPE";"C_OPERATOR";"C_COMMENT";"C_TOOLTIP";"UPDATE_DATE";"DOWNLOAD_DATE";"IMPORT_DATE";"SOURCESYSTEM_CD";"VALUETYPE_CD";"M_APPLIED_PATH"
"0";"2";"\i2b2\customNode\t_13_Hb_F1\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_13_Hb_F1\";"concept_dimension";"t_13_Hb_F1";;;"FA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_13_Hb_F1";"null";"T";"null";"null";"t_13_Hb_F1";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode\t_13_Hb_F1\12.4\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_13_Hb_F1\12.4\";"concept_dimension";"12.4";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_13_Hb_F1:12.4";"null";"T";"null";"null";"12.4";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode\t_13_Hb_F1\13.4\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_13_Hb_F1\13.4\";"concept_dimension";"13.4";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_13_Hb_F1:13.4";"null";"T";"null";"null";"13.4";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode\t_13_Hb_F1\14.1\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_13_Hb_F1\14.1\";"concept_dimension";"14.1";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_13_Hb_F1:14.1";"null";"T";"null";"null";"14.1";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode\t_13_Hb_F1\15.1\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_13_Hb_F1\15.1\";"concept_dimension";"15.1";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_13_Hb_F1:15.1";"null";"T";"null";"null";"15.1";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode\t_13_Hb_F1\15.4\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_13_Hb_F1\15.4\";"concept_dimension";"15.4";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_13_Hb_F1:15.4";"null";"T";"null";"null";"15.4";;;;"null";"null";"@"
"0";"2";"\i2b2\customNode\t_14_HbA1c_F1\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_14_HbA1c_F1\";"concept_dimension";"t_14_HbA1c_F1";;;"FA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_14_HbA1c_F1";"null";"T";"null";"null";"t_14_HbA1c_F1";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode\t_14_HbA1c_F1\5.2\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_14_HbA1c_F1\5.2\";"concept_dimension";"5.2";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_14_HbA1c_F1:5.2";"null";"T";"null";"null";"5.2";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode\t_14_HbA1c_F1\5.3\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_14_HbA1c_F1\5.3\";"concept_dimension";"5.3";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_14_HbA1c_F1:5.3";"null";"T";"null";"null";"5.3";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode\t_14_HbA1c_F1\5.8\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_14_HbA1c_F1\5.8\";"concept_dimension";"5.8";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_14_HbA1c_F1:5.8";"null";"T";"null";"null";"5.8";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode\t_14_HbA1c_F1\5.9\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_14_HbA1c_F1\5.9\";"concept_dimension";"5.9";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_14_HbA1c_F1:5.9";"null";"T";"null";"null";"5.9";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode\t_14_HbA1c_F1\7.8\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_14_HbA1c_F1\7.8\";"concept_dimension";"7.8";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_14_HbA1c_F1:7.8";"null";"T";"null";"null";"7.8";;;;"null";"null";"@"
"0";"2";"\i2b2\customNode\t_15_CHE_F1\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_15_CHE_F1\";"concept_dimension";"t_15_CHE_F1";;;"FA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_15_CHE_F1";"null";"T";"null";"null";"t_15_CHE_F1";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode\t_15_CHE_F1\11.1\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_15_CHE_F1\11.1\";"concept_dimension";"11.1";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_15_CHE_F1:11.1";"null";"T";"null";"null";"11.1";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode\t_15_CHE_F1\7.7\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_15_CHE_F1\7.7\";"concept_dimension";"7.7";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_15_CHE_F1:7.7";"null";"T";"null";"null";"7.7";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode\t_15_CHE_F1\8.3\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_15_CHE_F1\8.3\";"concept_dimension";"8.3";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_15_CHE_F1:8.3";"null";"T";"null";"null";"8.3";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode\t_15_CHE_F1\8.4\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_15_CHE_F1\8.4\";"concept_dimension";"8.4";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_15_CHE_F1:8.4";"null";"T";"null";"null";"8.4";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode\t_15_CHE_F1\9.6\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_15_CHE_F1\9.6\";"concept_dimension";"9.6";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_15_CHE_F1:9.6";"null";"T";"null";"null";"9.6";;;;"null";"null";"@"
"0";"2";"\i2b2\customNode\t_244_daught_bio_F1\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_244_daught_bio_F1\";"concept_dimension";"t_244_daught_bio_F1";"";"";"FA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_244_daught_bio_F1";;"T";;;"t_244_daught_bio_F1";"01-10-2014";"";"01-10-2014";;;"@"
"0";"3";"\i2b2\customNode\t_244_daught_bio_F1\NA\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_244_daught_bio_F1\NA\";"concept_dimension";"NA";"";"";"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_244_daught_bio_F1:NA";;"T";;;"NA";"01-10-2014";"";"01-10-2014";;;"@"
"0";"3";"\i2b2\customNode\t_244_daught_bio_F1\1\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_244_daught_bio_F1\1\";"concept_dimension";"1";"";"";"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_244_daught_bio_F1:1";;"T";;;"1";"01-10-2014";"";"01-10-2014";;;"@"
"0";"1";"\i2b2\customNode_1\";"";"concept_dimension";"test2";;;"FAE";"|i2b2|customNode_1";"null";"null";"null";"null";"null";;;;"null";"null";"@"
"0";"2";"\i2b2\customNode_1\t_16_Thrombo_F1\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_16_Thrombo_F1\";"concept_dimension";"t_16_Thrombo_F1";;;"FA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_16_Thrombo_F1";"null";"T";"null";"null";"t_16_Thrombo_F1";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode_1\t_16_Thrombo_F1\163\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_16_Thrombo_F1\163\";"concept_dimension";"163";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_16_Thrombo_F1:163";"null";"T";"null";"null";"163";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode_1\t_16_Thrombo_F1\238\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_16_Thrombo_F1\238\";"concept_dimension";"238";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_16_Thrombo_F1:238";"null";"T";"null";"null";"238";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode_1\t_16_Thrombo_F1\268\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_16_Thrombo_F1\268\";"concept_dimension";"268";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_16_Thrombo_F1:268";"null";"T";"null";"null";"268";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode_1\t_16_Thrombo_F1\275\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_16_Thrombo_F1\275\";"concept_dimension";"275";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_16_Thrombo_F1:275";"null";"T";"null";"null";"275";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode_1\t_16_Thrombo_F1\292\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_16_Thrombo_F1\292\";"concept_dimension";"292";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_16_Thrombo_F1:292";"null";"T";"null";"null";"292";;;;"null";"null";"@"
"0";"2";"\i2b2\customNode_1\t_17_triglyc_F1\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_17_triglyc_F1\";"concept_dimension";"t_17_triglyc_F1";;;"FA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_17_triglyc_F1";"null";"T";"null";"null";"t_17_triglyc_F1";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode_1\t_17_triglyc_F1\112\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_17_triglyc_F1\112\";"concept_dimension";"112";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_17_triglyc_F1:112";"null";"T";"null";"null";"112";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode_1\t_17_triglyc_F1\132\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_17_triglyc_F1\132\";"concept_dimension";"132";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_17_triglyc_F1:132";"null";"T";"null";"null";"132";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode_1\t_17_triglyc_F1\156\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_17_triglyc_F1\156\";"concept_dimension";"156";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_17_triglyc_F1:156";"null";"T";"null";"null";"156";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode_1\t_17_triglyc_F1\196\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_17_triglyc_F1\196\";"concept_dimension";"196";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_17_triglyc_F1:196";"null";"T";"null";"null";"196";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode_1\t_17_triglyc_F1\78\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_17_triglyc_F1\78\";"concept_dimension";"78";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_17_triglyc_F1:78";"null";"T";"null";"null";"78";;;;"null";"null";"@"
"0";"2";"\i2b2\customNode_1\t_18_MCH_F1\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_18_MCH_F1\";"concept_dimension";"t_18_MCH_F1";;;"FA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_18_MCH_F1";"null";"T";"null";"null";"t_18_MCH_F1";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode_1\t_18_MCH_F1\28.3\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_18_MCH_F1\28.3\";"concept_dimension";"28.3";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_18_MCH_F1:28.3";"null";"T";"null";"null";"28.3";;;;"null";"null";"@"
"0";"3";"\i2b2\customNode_1\t_18_MCH_F1\30.1\";"\i2b2\PD\i2b2_F1_out_output_sorted.PID\t_18_MCH_F1\30.1\";"concept_dimension";"30.1";;;"LA ";"|i2b2|PD|i2b2_F1_out_output_sorted.PID|t_18_MCH_F1:30.1";"null";"T";"null";"null";"30.1";;;;"null";"null";"@"
